event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
LLM_NEW_TOKEN,1765872293.758557,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5374.7265338897705,12034.03639793396,,13934.855222702026
LLM_NEW_TOKEN,1765872293.769264,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5364.0196323394775,12023.329496383667,,13924.148321151733
LLM_NEW_TOKEN,1765872293.7694864,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5363.797187805176,12023.107051849365,,13923.925876617432
LLM_NEW_TOKEN,1765872293.7806242,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5352.659463882446,12011.969327926636,,13912.788152694702
LLM_NEW_TOKEN,1765872293.78113,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5352.153539657593,12011.463403701782,,13912.282228469849
LLM_NEW_TOKEN,1765872293.7947547,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5338.528871536255,11997.838735580444,,13898.65756034851
LLM_NEW_TOKEN,1765872293.7949839,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5338.299751281738,11997.609615325928,,13898.428440093994
LLM_NEW_TOKEN,1765872293.808398,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5324.885606765747,11984.195470809937,,13885.014295578003
LLM_NEW_TOKEN,1765872293.8091793,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5324.104309082031,11983.41417312622,,13884.232997894287
LLM_NEW_TOKEN,1765872293.8207026,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5312.5810623168945,11971.890926361084,,13872.70975112915
LLM_NEW_TOKEN,1765872293.8213186,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5311.964988708496,11971.274852752686,,13872.093677520752
LLM_NEW_TOKEN,1765872293.8341875,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5299.09610748291,11958.4059715271,,13859.224796295166
LLM_NEW_TOKEN,1765872293.8346505,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5298.633098602295,11957.942962646484,,13858.76178741455
LLM_NEW_TOKEN,1765872293.8472443,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5286.039352416992,11945.349216461182,,13846.168041229248
LLM_NEW_TOKEN,1765872293.8482113,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5285.072326660156,11944.382190704346,,13845.201015472412
LLM_NEW_TOKEN,1765872293.8872335,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5246.050119400024,11905.359983444214,,13806.17880821228
